gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,powerPerformance,testDate,category,price_per_watt
Quadro FX 1400,124,152,245.01,0.51,70.0,1.77,2011,Workstation,3.500142857142857
GeForce 310,122,61,108.35,1.12,30.5,3.99,2010,Desktop,3.5524590163934424
Quadro FX 1700,118,44,350.14,0.34,42.0,2.8,2009,Workstation,8.336666666666666
Radeon HD 3450,118,29,89.0,1.33,25.0,4.74,2011,Desktop,3.56
FireMV 2260,117,488,88.08,1.33,15.0,7.82,2011,Workstation,5.872
GeForce 8600 GT,117,63,196.0,0.6,47.0,2.49,2012,Desktop,4.170212765957447
NVS 300,114,60,62.97,1.81,17.5,6.5,2011,Workstation,3.5982857142857143
Quadro FX 560,114,360,150.25,0.76,30.0,3.8,2009,Workstation,5.008333333333334
GeForce 9400 GT,105,60,159.99,0.66,50.0,2.11,2010,Desktop,3.1998
Radeon HD 4350,103,34,102.24,1.0,20.0,5.13,2012,Desktop,5.112
GeForce 8400M GS,98,47,78.2,1.25,11.0,8.91,2009,Mobile,7.109090909090909
GeForce 210,97,39,54.92,1.77,30.5,3.19,2009,Desktop,1.8006557377049182
GeForce 9300M GS,92,33,43.42,2.12,13.0,7.1,2009,Mobile,3.3400000000000003
Radeon HD 3470,90,95,109.65,0.82,30.0,2.99,2011,Desktop,3.6550000000000002
GeForce 8600M GT,89,42,108.1,0.82,20.0,4.45,2011,Mobile,5.404999999999999
Radeon X1650 Pro,85,241,160.89,0.53,44.0,1.93,2010,Desktop,3.656590909090909
Quadro FX 370,84,385,125.0,0.67,35.0,2.39,2009,Workstation,3.5714285714285716
Quadro FX 540,81,294,59.99,1.35,35.0,2.31,2009,Workstation,1.714
Quadro NVS 295,75,73,63.0,1.19,23.0,3.27,2009,Workstation,2.739130434782609
Radeon X1550,67,253,155.0,0.43,27.0,2.47,2009,Desktop,5.7407407407407405
Quadro FX 550,64,325,287.82,0.22,25.0,2.55,2009,Workstation,11.5128
FirePro 2450,51,482,89.99,0.57,36.0,1.42,2010,Workstation,2.499722222222222
